Resolution Bin,Percentile,Avg B-factor,Max B-factor,Std B-factor,Ramachandran Score,Rotamer Score,Residue Fit,Mainchain Fit,Sidechain Fit
<10,72,19.1625,24.23,2.67429,0.84586,1.96008,14.23136,14.11533,6.36207
<10,73,19.45542,24.65,2.76254,0.8884,2.13385,14.58601,14.47678,6.51378
<10,74,19.76107,25.1,2.85541,0.92722,2.37484,14.94559,14.8432,6.6758
<10,75,20.07,25.56,2.95319,0.96383,2.67921,15.31182,15.21584,6.84268
<10,76,20.39222,26.05,3.05745,0.9993,3.01696,15.69245,15.6017,7.02282
<10,77,20.72909,26.57,3.16851,1.03372,3.35878,16.0862,15.99937,7.20767
<10,78,21.08,27.12,3.28597,1.06694,3.60219,16.47961,16.39998,7.40195
<10,79,21.44889,27.68,3.41424,1.09942,3.91658,16.89279,16.81706,7.60787
<10,80,21.8425,28.27,3.5488,1.13355,4.41196,17.31145,17.24169,7.82834
<10,81,22.25375,28.89,3.69102,1.16985,4.95368,17.74299,17.67674,8.06798
<10,82,22.68568,29.56,3.85202,1.20586,5.40323,18.17525,18.11322,8.32136
<10,83,23.15714,30.26,4.01868,1.24173,5.76077,18.63089,18.57221,8.59828
<10,84,23.65635,31.02,4.20237,1.27627,6.0331,19.09228,19.0381,8.88933
<10,85,24.17891,31.83,4.40319,1.30945,6.30481,19.56903,19.51466,9.2081
<10,86,24.75339,32.72,4.62599,1.34287,6.74107,20.06681,20.01795,9.55029
<10,87,25.37629,33.67,4.87113,1.37826,7.26979,20.58649,20.5368,9.92406
<10,88,26.05299,34.69,5.13458,1.41364,7.72964,21.13432,21.08698,10.33437
<10,89,26.78819,35.82,5.43128,1.44843,8.06407,21.7093,21.66083,10.78601
<10,90,27.61167,37.11,5.76529,1.48281,8.29191,22.32478,22.27922,11.28856
<10,91,28.50898,38.53,6.1325,1.5146,8.761,22.97726,22.93715,11.85367
<10,92,29.51498,40.1,6.56138,1.54723,9.62266,23.69069,23.64916,12.50424
<10,93,30.6867,41.92,7.05017,1.57951,10.04105,24.47327,24.42995,13.26334
<10,94,32.07605,44.03,7.63281,1.61335,10.31305,25.34457,25.30046,14.17792
