Resolution Bin,Percentile,Avg B-factor,Max B-factor,Std B-factor,Ramachandran Score,Rotamer Score,Residue Fit,Mainchain Fit,Sidechain Fit
30-40,7,12.3825,14.31,0.52809,0.04064,0.2233,4.18349,4.13389,3.67233
30-40,8,12.85525,14.85,0.57068,0.04616,0.24568,4.38098,4.33053,3.82709
30-40,9,13.2925,15.34,0.61142,0.0513,0.26782,4.56578,4.51498,3.9736
30-40,10,13.7044,15.8,0.6509,0.05664,0.28816,4.74252,4.69306,4.11318
30-40,11,14.0925,16.24,0.68996,0.06221,0.30853,4.91453,4.8662,4.24758
30-40,12,14.46667,16.67,0.72744,0.06795,0.32811,5.08183,5.03364,4.37532
30-40,13,14.82125,17.08,0.76439,0.07391,0.34764,5.24798,5.19928,4.5001
30-40,14,15.15667,17.48,0.80108,0.07999,0.3663,5.41192,5.36411,4.61765
30-40,15,15.48751,17.86,0.837,0.0861,0.38469,5.572,5.52334,4.73374
30-40,16,15.80571,18.24,0.8724,0.09221,0.40282,5.73048,5.68273,4.84847
30-40,17,16.12625,18.61,0.90741,0.09807,0.42045,5.88798,5.84042,4.96078
30-40,18,16.43667,18.97,0.9427,0.10373,0.43817,6.04496,5.99777,5.07333
30-40,19,16.73875,19.33,0.97736,0.10949,0.45561,6.20084,6.1546,5.18313
30-40,20,17.035,19.68,1.01165,0.11515,0.47278,6.35596,6.30925,5.29448
30-40,21,17.3325,20.02,1.04539,0.12053,0.48967,6.51091,6.46501,5.40265
30-40,22,17.62375,20.37,1.07951,0.1256,0.50673,6.66714,6.62142,5.51152
30-40,23,17.915,20.71,1.11361,0.13043,0.5232,6.82541,6.77618,5.62056
30-40,24,18.2,21.04,1.14764,0.1352,0.53999,6.9826,6.93526,5.72912
30-40,25,18.48625,21.38,1.1817,0.13983,0.55687,7.1406,7.09469,5.83454
30-40,26,18.76667,21.7,1.21603,0.14455,0.57367,7.29933,7.25088,5.9409
30-40,27,19.04778,22.03,1.25,0.14928,0.59075,7.45874,7.41146,6.04827
30-40,28,19.32444,22.37,1.28392,0.15417,0.60781,7.61936,7.57217,6.15629
30-40,29,19.602,22.69,1.31846,0.15888,0.62467,7.78169,7.73425,6.26507
30-40,30,19.8775,23.02,1.35241,0.16363,0.64207,7.94594,7.89762,6.3727
30-40,31,20.14714,23.34,1.38671,0.16837,0.66008,8.11185,8.06351,6.48163
30-40,32,20.42125,23.67,1.42165,0.17306,0.67814,8.28021,8.22967,6.59115
30-40,33,20.69714,23.99,1.45638,0.17758,0.6964,8.44967,8.39965,6.70033
30-40,34,20.97125,24.31,1.49113,0.18203,0.71468,8.62406,8.56983,6.8125
30-40,35,21.24808,24.64,1.52623,0.18635,0.7331,8.79936,8.74229,6.92359
30-40,36,21.526,24.96,1.56197,0.19056,0.7518,8.97616,8.91833,7.03603
30-40,37,21.8032,25.29,1.59841,0.19456,0.77061,9.15615,9.09615,7.1487
30-40,38,22.075,25.61,1.63521,0.19841,0.78982,9.33881,9.27676,7.26436
30-40,39,22.35375,25.95,1.67199,0.20203,0.8093,9.52418,9.46116,7.38159
30-40,40,22.62889,26.27,1.70906,0.2054,0.82905,9.71241,9.64634,7.49998
30-40,41,22.91,26.6,1.74671,0.20863,0.84903,9.90353,9.83518,7.61898
30-40,42,23.19143,26.94,1.78509,0.21176,0.86945,10.0947,10.02709,7.74177
30-40,43,23.47444,27.27,1.82408,0.21503,0.89026,10.29347,10.22189,7.86422
30-40,44,23.75714,27.62,1.86374,0.21864,0.91179,10.49384,10.4192,7.98854
30-40,45,24.04,27.97,1.90403,0.22251,0.93331,10.69964,10.62194,8.11384
30-40,46,24.326,28.32,1.94502,0.22632,0.95592,10.9099,10.82994,8.24307
30-40,47,24.61375,28.68,1.98615,0.22971,0.97872,11.12374,11.04197,8.3742
30-40,48,24.90143,29.04,2.02809,0.2335,1.00228,11.33768,11.25583,8.50587
30-40,49,25.19286,29.41,2.07109,0.23799,1.02643,11.55547,11.47399,8.64286
30-40,50,25.488,29.77,2.11473,0.24275,1.05147,11.77856,11.69385,8.77973
30-40,51,25.78722,30.14,2.15946,0.24789,1.07706,12.00701,11.92178,8.9192
30-40,52,26.08857,30.53,2.20566,0.25402,1.10375,12.24152,12.15378,9.06232
30-40,53,26.39667,30.92,2.25246,0.26087,1.1315,12.47821,12.38662,9.21012
30-40,54,26.715,31.31,2.30172,0.26857,1.16037,12.71811,12.6247,9.36122
30-40,55,27.03414,31.71,2.35097,0.2762,1.19049,12.96403,12.86786,9.51587
30-40,56,27.36111,32.12,2.40233,0.28338,1.22198,13.21329,13.11489,9.67375
30-40,57,27.69375,32.53,2.45573,0.29046,1.25537,13.46636,13.36994,9.83533
30-40,58,28.03,32.96,2.5097,0.29912,1.29038,13.72208,13.6257,9.99868
30-40,59,28.37084,33.39,2.56651,0.31311,1.3277,13.98541,13.88552,10.16928
30-40,60,28.71857,33.83,2.62511,0.34283,1.36808,14.25159,14.15226,10.34426
30-40,61,29.07625,34.27,2.68609,0.37397,1.41047,14.52283,14.42242,10.52318
30-40,62,29.43667,34.73,2.748,0.40811,1.45663,14.80017,14.69759,10.70507
30-40,63,29.81,35.2,2.81332,0.45442,1.50759,15.07972,14.97742,10.89662
30-40,64,30.18833,35.68,2.88106,0.50009,1.56286,15.36395,15.26304,11.09479
30-40,65,30.57,36.17,2.95071,0.54715,1.62458,15.65494,15.55223,11.29639
30-40,66,30.96667,36.68,3.02463,0.60032,1.69306,15.95265,15.85204,11.50488
30-40,67,31.375,37.2,3.10078,0.65122,1.77098,16.25932,16.15689,11.72301
30-40,68,31.79125,37.73,3.18144,0.69917,1.85879,16.56958,16.46952,11.95049
30-40,69,32.2225,38.28,3.2661,0.7444,1.96525,16.88607,16.78732,12.18222
30-40,70,32.66,38.85,3.35499,0.78713,2.09119,17.20884,17.11109,12.4209
30-40,71,33.11545,39.44,3.44744,0.8281,2.24451,17.54067,17.44154,12.67314
30-40,72,33.58222,40.05,3.54346,0.86691,2.42927,17.879,17.77813,12.93178
30-40,73,34.068,40.69,3.64669,0.90303,2.65364,18.22672,18.12825,13.20465
30-40,74,34.5686,41.35,3.75604,0.93763,2.91813,18.5779,18.48386,13.48407
30-40,75,35.08729,42.03,3.87082,0.97073,3.18277,18.94407,18.84955,13.77959
30-40,76,35.63778,42.73,3.98962,1.00228,3.45081,19.31435,19.22051,14.08966
30-40,77,36.20411,43.47,4.11979,1.03337,3.65996,19.69771,19.60225,14.41428
30-40,78,36.795,44.25,4.25736,1.06411,3.96634,20.08862,19.99465,14.75996
30-40,79,37.41222,45.06,4.40713,1.09418,4.41462,20.49577,20.39992,15.11796
30-40,80,38.06667,45.9,4.56718,1.12514,4.9154,20.91416,20.81808,15.4972
30-40,81,38.7475,46.78,4.74128,1.1578,5.3369,21.34977,21.25584,15.9019
30-40,82,39.47,47.72,4.92881,1.19162,5.68821,21.79253,21.70445,16.3324
30-40,83,40.2375,48.72,5.12631,1.22537,5.97529,22.2491,22.16168,16.78786
30-40,84,41.056,49.77,5.3418,1.25914,6.22122,22.73441,22.64267,17.28201
30-40,85,41.9325,50.89,5.57805,1.29173,6.60208,23.23817,23.14747,17.80887
30-40,86,42.86,52.1,5.83004,1.32399,7.05141,23.76203,23.67727,18.38219
30-40,87,43.87556,53.39,6.11054,1.35766,7.52607,24.32596,24.23412,19.00694
30-40,88,44.96556,54.77,6.4247,1.39312,7.87197,24.91386,24.82471,19.69928
30-40,89,46.15125,56.28,6.76363,1.42744,8.12852,25.54851,25.46047,20.46148
30-40,90,47.47545,57.92,7.14639,1.46256,8.3684,26.22686,26.14232,21.2979
30-40,91,48.95157,59.75,7.58463,1.49661,8.9782,26.96972,26.88548,22.22334
30-40,92,50.58889,61.79,8.08051,1.52906,9.70172,27.78949,27.70397,23.30878
30-40,93,52.5,64.07,8.64933,1.56305,10.07538,28.70836,28.61772,24.53376
30-40,94,54.71263,66.69,9.31084,1.59803,10.36655,29.7589,29.67384,25.98502
30-40,95,57.36125,69.82,10.10857,1.63474,10.99785,30.9961,30.90193,27.72337
30-40,96,60.6409,73.59,11.08547,1.67442,12.70632,32.49067,32.39579,29.90021
30-40,97,64.98653,78.48,12.36938,1.71831,13.98529,34.41887,34.32662,32.7777
30-40,98,71.20096,85.17,14.18723,1.77127,14.96453,37.26816,37.14717,36.97968
30-40,99,81.54974,96.36,17.26157,1.84041,19.87823,42.70909,42.47476,44.37656
40-50,1,8.51625,10.32,0.25258,0.00418,0.05004,2.80777,2.7772,2.62982
40-50,2,10.3175,12.31,0.34709,0.0114,0.08952,3.44293,3.41204,3.1695
40-50,3,11.56625,13.66,0.42067,0.01745,0.12242,3.88615,3.85887,3.54568
40-50,4,12.53,14.71,0.48469,0.02278,0.15233,4.24116,4.21752,3.84701
40-50,5,13.33143,15.59,0.54239,0.02787,0.18013,4.54927,4.52923,4.10401
40-50,6,14.02667,16.36,0.59694,0.03347,0.20569,4.82663,4.809,4.33504
40-50,7,14.64143,17.04,0.64893,0.03941,0.23026,5.07832,5.06706,4.54493
40-50,8,15.2,17.67,0.69797,0.04507,0.25339,5.31645,5.30432,4.73743
40-50,9,15.72582,18.25,0.74508,0.05015,0.27558,5.53936,5.5288,4.91885
40-50,10,16.21714,18.8,0.78987,0.05537,0.29705,5.7486,5.74314,5.09406
40-50,11,16.68333,19.32,0.83468,0.06074,0.31796,5.95164,5.94808,5.2592
40-50,12,17.12,19.82,0.87758,0.06627,0.33809,6.14937,6.14776,5.4163
40-50,13,17.54667,20.28,0.91955,0.07206,0.3581,6.34,6.3425,5.56824
40-50,14,17.96,20.74,0.96121,0.07797,0.37745,6.52852,6.53226,5.71775
40-50,15,18.34429,21.18,1.00222,0.08402,0.39634,6.71316,6.72029,5.86046
40-50,16,18.728,21.61,1.0423,0.09003,0.41519,6.89551,6.90297,6.00055
40-50,17,19.10125,22.03,1.08224,0.09605,0.43355,7.07613,7.08518,6.13909
40-50,18,19.464,22.44,1.12206,0.10192,0.45177,7.25557,7.26525,6.27574
40-50,19,19.8175,22.84,1.16123,0.10761,0.47029,7.4331,7.44546,6.4106
40-50,20,20.15833,23.24,1.20049,0.11323,0.48814,7.6118,7.6255,6.54518
40-50,21,20.49909,23.64,1.2398,0.11872,0.50608,7.78771,7.80306,6.67598
40-50,22,20.839,24.04,1.27814,0.12396,0.52341,7.96522,7.98105,6.80737
40-50,23,21.17222,24.42,1.31596,0.12898,0.54102,8.14068,8.15754,6.94138
40-50,24,21.505,24.8,1.35419,0.13378,0.55863,8.31568,8.33525,7.07227
40-50,25,21.8325,25.19,1.39262,0.13853,0.57642,8.49274,8.51517,7.20489
40-50,26,22.15833,25.57,1.43013,0.14332,0.59411,8.67117,8.6942,7.33517
40-50,27,22.48714,25.96,1.46868,0.14825,0.61198,8.85124,8.87338,7.46563
40-50,28,22.80875,26.34,1.50734,0.15311,0.62978,9.03287,9.05397,7.59631
40-50,29,23.13111,26.72,1.54572,0.15792,0.64842,9.21263,9.2358,7.72649
40-50,30,23.45,27.09,1.58396,0.16277,0.66698,9.3961,9.41887,7.85947
40-50,31,23.7775,27.47,1.6221,0.16754,0.68576,9.57968,9.603,7.99088
40-50,32,24.095,27.85,1.66002,0.17218,0.70466,9.76419,9.78847,8.12266
40-50,33,24.41625,28.23,1.69855,0.17678,0.72372,9.94983,9.97487,8.25618
40-50,34,24.73636,28.61,1.73756,0.1813,0.74297,10.13744,10.16244,8.39152
40-50,35,25.0575,28.99,1.77629,0.18566,0.76252,10.32812,10.35076,8.52781
40-50,36,25.38087,29.38,1.81545,0.1899,0.78233,10.51885,10.54162,8.66466
40-50,37,25.69875,29.76,1.8552,0.19396,0.80243,10.71153,10.73679,8.80138
40-50,38,26.02,30.14,1.89512,0.19779,0.82238,10.90632,10.93077,8.94096
40-50,39,26.3475,30.53,1.93527,0.20147,0.84272,11.10331,11.12678,9.08257
40-50,40,26.67214,30.92,1.97557,0.20494,0.86383,11.30129,11.32533,9.22538
40-50,41,27.0,31.3,2.01638,0.20823,0.88528,11.5057,11.52667,9.37143
40-50,42,27.3325,31.69,2.05728,0.21135,0.90708,11.70858,11.7301,9.51654
40-50,43,27.66286,32.09,2.09916,0.21469,0.92928,11.9173,11.93595,9.6633
40-50,44,27.99787,32.48,2.14182,0.21825,0.95209,12.12713,12.14419,9.81324
40-50,45,28.33398,32.89,2.1847,0.22222,0.97566,12.34026,12.35586,9.96626
40-50,46,28.6725,33.29,2.22826,0.22615,0.9993,12.55587,12.5732,10.12083
40-50,47,29.01,33.7,2.27363,0.22965,1.0239,12.77474,12.79111,10.2774
40-50,48,29.35561,34.12,2.31883,0.23347,1.04856,12.99633,13.01004,10.43556
40-50,49,29.70444,34.54,2.36564,0.23795,1.07417,13.22249,13.23394,10.59926
40-50,50,30.0575,34.96,2.41349,0.24277,1.10128,13.45203,13.46187,10.7634
40-50,51,30.41,35.38,2.46227,0.24799,1.12916,13.68547,13.69184,10.93201
40-50,52,30.76875,35.82,2.51218,0.254,1.15797,13.91929,13.92452,11.10103
40-50,53,31.132,36.25,2.56354,0.26087,1.18761,14.16245,14.16635,11.27792
40-50,54,31.5,36.7,2.61578,0.26853,1.21881,14.40653,14.40893,11.45153
40-50,55,31.86571,37.15,2.66964,0.27615,1.25092,14.65493,14.65459,11.63178
40-50,56,32.24857,37.61,2.72543,0.28337,1.28506,14.90706,14.90662,11.81602
40-50,57,32.63,38.08,2.78299,0.29035,1.32214,15.1668,15.16247,12.00629
40-50,58,33.01875,38.55,2.84047,0.299,1.36029,15.42395,15.421,12.20083
40-50,59,33.4075,39.04,2.90126,0.31191,1.40101,15.69468,15.68884,12.39844
40-50,60,33.81222,39.53,2.96429,0.34103,1.445,15.96563,15.95798,12.60279
40-50,61,34.22667,40.04,3.02847,0.37231,1.49195,16.24423,16.23053,12.81391
40-50,62,34.64833,40.55,3.09436,0.40648,1.54244,16.52462,16.5102,13.0287
40-50,63,35.07333,41.07,3.16367,0.45249,1.59769,16.80836,16.79203,13.25108
40-50,64,35.51,41.6,3.23567,0.49762,1.65948,17.09898,17.08043,13.48103
40-50,65,35.95231,42.16,3.31063,0.54277,1.72691,17.3986,17.37945,13.71804
40-50,66,36.40889,42.73,3.38889,0.59504,1.80336,17.70164,17.68086,13.96008
40-50,67,36.86856,43.31,3.46951,0.64373,1.88809,18.01397,17.99093,14.21273
40-50,68,37.34875,43.9,3.55429,0.69063,1.98798,18.33343,18.30802,14.47129
40-50,69,37.83883,44.51,3.64187,0.7347,2.10559,18.65739,18.63071,14.7424
40-50,70,38.33625,45.14,3.73422,0.77643,2.24237,18.98907,18.96011,15.02061
40-50,71,38.8575,45.79,3.83138,0.81671,2.40256,19.32657,19.29648,15.31077
40-50,72,39.39502,46.45,3.93362,0.85513,2.5914,19.67445,19.64092,15.61345
40-50,73,39.95554,47.14,4.04294,0.89091,2.82236,20.02932,19.99542,15.92912
40-50,74,40.53429,47.85,4.15612,0.92483,3.06747,20.3963,20.35864,16.25859
40-50,75,41.125,48.59,4.27577,0.95775,3.32327,20.77039,20.73517,16.59529
40-50,76,41.74549,49.36,4.40126,0.98946,3.5456,21.15457,21.11729,16.94981
40-50,77,42.3875,50.17,4.53647,1.0208,3.75248,21.55037,21.51355,17.32432
40-50,78,43.05625,51.01,4.67954,1.05081,4.11216,21.9598,21.9191,17.71497
40-50,79,43.75333,51.89,4.83219,1.08034,4.55272,22.38296,22.33761,18.13025
40-50,80,44.48352,52.79,4.99666,1.11105,5.03088,22.81725,22.77606,18.57063
40-50,81,45.25556,53.76,5.17317,1.1422,5.4255,23.27018,23.23123,19.0325
40-50,82,46.07289,54.77,5.36134,1.17582,5.76621,23.74475,23.70357,19.52816
40-50,83,46.93,55.82,5.56584,1.20894,6.03829,24.23995,24.19734,20.05165
40-50,84,47.85374,56.95,5.79072,1.24241,6.29645,24.7559,24.71573,20.61192
40-50,85,48.82553,58.15,6.03279,1.27625,6.68445,25.29519,25.25267,21.21489
40-50,86,49.87143,59.44,6.29298,1.30855,7.13579,25.86529,25.82269,21.87159
40-50,87,50.99111,60.82,6.58032,1.34142,7.56794,26.47277,26.43321,22.57082
40-50,88,52.21907,62.3,6.89768,1.37677,7.8949,27.11723,27.07863,23.32988
40-50,89,53.54333,63.91,7.2456,1.41198,8.14891,27.81441,27.77282,24.17064
40-50,90,54.99,65.64,7.6381,1.44782,8.40599,28.55956,28.52676,25.09839
40-50,91,56.61,67.58,8.08439,1.48371,9.06014,29.38142,29.3501,26.13951
40-50,92,58.44333,69.72,8.59149,1.5174,9.73995,30.30359,30.26375,27.3132
40-50,93,60.56,72.12,9.17539,1.55198,10.10377,31.32254,31.28493,28.66556
40-50,94,62.9686,74.88,9.85869,1.58761,10.42453,32.49101,32.45856,30.24769
40-50,95,65.81,78.14,10.67568,1.62591,11.17347,33.89342,33.84879,32.16377
40-50,96,69.354,82.15,11.69798,1.66687,12.91964,35.61541,35.57178,34.55863
40-50,97,74.025,87.27,13.01467,1.71219,14.03027,37.90061,37.85572,37.74362
40-50,98,80.52337,94.51,14.88204,1.76534,15.04853,41.27419,41.20781,42.28407
40-50,99,91.55568,106.96,18.11429,1.83557,19.91005,47.56433,47.46719,50.18564
50-60,1,11.34125,13.0941,0.26911,0.00384,0.05112,3.75745,3.76655,3.5862
50-60,2,13.2425,15.16,0.36878,0.01087,0.09104,4.44954,4.47089,4.19001
50-60,3,14.4775,16.55,0.44598,0.01693,0.12484,4.92614,4.9563,4.59812
50-60,4,15.44286,17.67,0.51348,0.02224,0.15529,5.30929,5.3512,4.92971
50-60,5,16.25503,18.62,0.57426,0.02714,0.18371,5.64052,5.69234,5.21227
50-60,6,16.99731,19.45,0.63129,0.03262,0.21041,5.94369,6.00028,5.46508
50-60,7,17.65273,20.19,0.68432,0.03835,0.23519,6.22249,6.28411,5.69697
50-60,8,18.2625,20.9,0.73574,0.04414,0.25879,6.48123,6.55175,5.91724
50-60,9,18.82625,21.56,0.78531,0.04929,0.28155,6.727,6.80324,6.12324
50-60,10,19.37333,22.18,0.83342,0.05446,0.30365,6.96225,7.0457,6.31767
50-60,11,19.89571,22.77,0.88026,0.05984,0.32494,7.19253,7.27913,6.50478
50-60,12,20.38889,23.34,0.92623,0.06535,0.34531,7.41416,7.50547,6.68382
50-60,13,20.8725,23.9,0.97138,0.07117,0.36554,7.63005,7.72611,6.86059
50-60,14,21.33875,24.43,1.01571,0.07719,0.38578,7.84342,7.94285,7.03422
50-60,15,21.80286,24.95,1.05988,0.08333,0.40548,8.05039,8.15728,7.20285
50-60,16,22.24429,25.45,1.10448,0.08942,0.42482,8.25627,8.36536,7.37242
50-60,17,22.67625,25.94,1.1477,0.09545,0.44368,8.45873,8.57283,7.53373
50-60,18,23.09549,26.41,1.19006,0.10142,0.46253,8.66042,8.77685,7.69221
50-60,19,23.51091,26.88,1.23307,0.10723,0.48097,8.8604,8.97955,7.8516
50-60,20,23.91364,27.34,1.27531,0.11305,0.49987,9.05765,9.18054,8.01056
50-60,21,24.31,27.8,1.3175,0.11861,0.51844,9.25312,9.37944,8.16978
50-60,22,24.70625,28.24,1.35955,0.12387,0.53681,9.4492,9.57875,8.32728
50-60,23,25.098,28.68,1.40156,0.12899,0.55531,9.64331,9.77475,8.48387
50-60,24,25.48182,29.12,1.4435,0.13389,0.57385,9.8365,9.97039,8.6393
50-60,25,25.86,29.56,1.48547,0.13876,0.59212,10.028,10.1681,8.79504
50-60,26,26.24,29.99,1.52743,0.14353,0.61068,10.22206,10.36362,8.94848
50-60,27,26.61857,30.42,1.56858,0.14845,0.62952,10.41519,10.55789,9.10257
50-60,28,26.99125,30.85,1.61,0.15338,0.64887,10.60818,10.75449,9.25587
50-60,29,27.3625,31.27,1.65204,0.1583,0.66794,10.80337,10.94926,9.4104
50-60,30,27.73571,31.7,1.69374,0.16313,0.68731,10.99884,11.14534,9.5642
50-60,31,28.11,32.12,1.73547,0.16797,0.70677,11.19375,11.34471,9.72164
50-60,32,28.4725,32.55,1.77735,0.17279,0.72673,11.39296,11.54199,9.87693
50-60,33,28.835,32.97,1.82026,0.17759,0.74651,11.59227,11.74145,10.03402
50-60,34,29.2,33.4,1.86236,0.18229,0.76691,11.79062,11.941,10.19182
50-60,35,29.56889,33.83,1.90481,0.18672,0.78767,11.9925,12.14281,10.35188
50-60,36,29.93714,34.25,1.94732,0.19105,0.80869,12.19573,12.34637,10.51102
50-60,37,30.2991,34.67,1.98966,0.19522,0.82965,12.40155,12.54976,10.6736
50-60,38,30.665,35.1,2.03294,0.1992,0.85103,12.60544,12.75833,10.83651
50-60,39,31.0325,35.53,2.07657,0.20299,0.87254,12.81635,12.96644,10.9997
50-60,40,31.3975,35.95,2.12083,0.20647,0.89441,13.02689,13.17598,11.16572
50-60,41,31.77,36.37,2.1658,0.2098,0.91708,13.23834,13.38917,11.33476
50-60,42,32.144,36.81,2.2115,0.21325,0.94004,13.45475,13.60248,11.50631
50-60,43,32.52125,37.25,2.25786,0.21674,0.96354,13.67481,13.82136,11.67776
50-60,44,32.89857,37.69,2.30445,0.22076,0.98728,13.8928,14.03964,11.853
50-60,45,33.27571,38.14,2.35185,0.22484,1.01212,14.11276,14.26073,12.03171
50-60,46,33.65857,38.59,2.39984,0.22863,1.03731,14.33841,14.48398,12.21222
50-60,47,34.04625,39.04,2.44854,0.23216,1.06288,14.56608,14.70916,12.3959
50-60,48,34.43,39.5,2.49809,0.23676,1.08933,14.79474,14.93694,12.58133
50-60,49,34.8225,39.95,2.54865,0.24171,1.11673,15.02734,15.1678,12.77441
50-60,50,35.20889,40.42,2.59963,0.24701,1.14482,15.26714,15.40362,12.96772
50-60,51,35.60818,40.89,2.65213,0.25328,1.17437,15.5047,15.6416,13.16383
50-60,52,36.01143,41.37,2.70537,0.26031,1.20446,15.74714,15.88397,13.36063
50-60,53,36.41857,41.85,2.76015,0.26829,1.23588,15.99678,16.12824,13.56594
50-60,54,36.835,42.35,2.81627,0.27629,1.26859,16.24908,16.37872,13.77058
50-60,55,37.255,42.84,2.87368,0.2839,1.30266,16.50413,16.63221,13.98362
50-60,56,37.67599,43.35,2.93263,0.29129,1.33918,16.76425,16.8872,14.20119
50-60,57,38.09786,43.86,2.99406,0.30073,1.37798,17.02831,17.14725,14.42393
50-60,58,38.53556,44.38,3.05682,0.31953,1.41894,17.29972,17.41669,14.65036
50-60,59,38.98714,44.92,3.12036,0.34929,1.46364,17.5742,17.68725,14.8819
50-60,60,39.4375,45.47,3.18658,0.38126,1.51073,17.85337,17.96277,15.11689
50-60,61,39.904,46.02,3.2553,0.41719,1.56196,18.13702,18.24257,15.36309
50-60,62,40.37687,46.59,3.32474,0.46091,1.61833,18.42609,18.53071,15.61265
50-60,63,40.85444,47.17,3.39705,0.50267,1.67936,18.7215,18.82717,15.8702
50-60,64,41.34125,47.78,3.47158,0.54717,1.74514,19.02714,19.12523,16.13851
50-60,65,41.84091,48.37,3.54874,0.59598,1.82069,19.3374,19.42906,16.40821
50-60,66,42.34875,49.0,3.62998,0.64209,1.90388,19.65272,19.74402,16.68694
50-60,67,42.87111,49.63,3.71301,0.68646,1.99944,19.9766,20.06727,16.98154
50-60,68,43.41,50.28,3.79988,0.72868,2.10888,20.3072,20.39231,17.2801
50-60,69,43.96222,50.96,3.89124,0.76906,2.23928,20.6466,20.72579,17.59137
50-60,70,44.53,51.65,3.98478,0.80742,2.38521,20.98953,21.06696,17.9159
50-60,71,45.11625,52.36,4.0837,0.84468,2.56162,21.348,21.41769,18.25105
50-60,72,45.71857,53.11,4.18814,0.87949,2.76333,21.71073,21.77665,18.60228
50-60,73,46.34642,53.87,4.29847,0.91263,2.98357,22.08606,22.14535,18.96236
50-60,74,46.99735,54.65,4.41388,0.94486,3.21653,22.47115,22.52637,19.3384
50-60,75,47.66667,55.48,4.53519,0.9754,3.44687,22.868,22.92287,19.73361
50-60,76,48.36417,56.35,4.66384,1.00565,3.63915,23.27923,23.33131,20.14449
50-60,77,49.09444,57.25,4.80233,1.03495,3.89039,23.70884,23.74973,20.57782
50-60,78,49.84167,58.17,4.94596,1.06381,4.29201,24.14891,24.18812,21.03461
50-60,79,50.6475,59.14,5.10101,1.09265,4.73544,24.60464,24.64315,21.51271
50-60,80,51.48222,60.18,5.26442,1.12192,5.18392,25.08252,25.12232,22.01927
50-60,81,52.3675,61.24,5.43857,1.15284,5.55817,25.58067,25.61263,22.55318
50-60,82,53.30176,62.38,5.62991,1.18482,5.87215,26.10055,26.12527,23.12223
50-60,83,54.28003,63.57,5.83708,1.2175,6.12369,26.65089,26.67163,23.73963
50-60,84,55.315,64.82,6.06111,1.2504,6.41847,27.21488,27.23465,24.37615
50-60,85,56.41163,66.14,6.3036,1.28243,6.80895,27.82285,27.83827,25.07286
50-60,86,57.5875,67.58,6.57155,1.31405,7.26039,28.46687,28.47956,25.81407
50-60,87,58.86,69.13,6.86515,1.34658,7.65365,29.14639,29.15886,26.62472
50-60,88,60.22125,70.77,7.19033,1.38106,7.95732,29.8982,29.9048,27.5094
50-60,89,61.76556,72.56,7.55572,1.41578,8.19479,30.70694,30.70608,28.48036
50-60,90,63.41927,74.51,7.96163,1.45035,8.50996,31.58709,31.57609,29.56292
50-60,91,65.28,76.67,8.42606,1.48534,9.23992,32.5567,32.54438,30.77857
50-60,92,67.3776,79.07,8.953,1.51876,9.82352,33.64595,33.63957,32.16085
50-60,93,69.77292,81.77,9.55998,1.55357,10.15732,34.89007,34.87169,33.74361
50-60,94,72.498,84.87,10.2698,1.58941,10.50303,36.31543,36.30768,35.58043
50-60,95,75.77,88.48,11.13128,1.62719,11.35886,38.04633,38.03958,37.77186
50-60,96,79.87,92.87,12.19137,1.66788,13.13238,40.18992,40.21232,40.51156
50-60,97,85.165,98.45,13.57348,1.71242,14.13939,43.11445,43.09951,44.16072
50-60,98,92.55522,106.09,15.49158,1.76593,15.15928,47.35679,47.40005,49.31931
50-60,99,105.19855,118.98,18.68875,1.83599,19.87573,55.36791,55.40099,58.33156
60-70,1,10.92269,12.74,0.22677,0.00329,0.05435,3.73305,3.79639,3.6527
60-70,2,13.13,15.25,0.33158,0.0097,0.09546,4.60483,4.69994,4.39608
60-70,3,14.68231,17.0,0.41512,0.0154,0.13045,5.20524,5.3209,4.91836
60-70,4,15.9275,18.37,0.48859,0.02068,0.16188,5.69007,5.83137,5.34161
60-70,5,16.9925,19.55,0.55585,0.02526,0.19102,6.11223,6.2678,5.70542
60-70,6,17.935,20.58,0.61816,0.0305,0.21799,6.49138,6.66065,6.0342
60-70,7,18.78286,21.5,0.67786,0.03597,0.24338,6.83738,7.02004,6.3343
60-70,8,19.56143,22.36,0.73527,0.04174,0.26771,7.15591,7.35293,6.61089
60-70,9,20.28455,23.16,0.79036,0.04699,0.29125,7.45446,7.66525,6.87387
60-70,10,20.96099,23.91,0.84361,0.05196,0.31414,7.73788,7.95914,7.11724
60-70,11,21.595,24.62,0.89583,0.05714,0.33615,8.00617,8.23849,7.35255
60-70,12,22.20333,25.3,0.94813,0.06258,0.35784,8.26325,8.50599,7.57448
60-70,13,22.7825,25.96,0.99826,0.0681,0.37919,8.51082,8.76158,7.78789
60-70,14,23.35,26.59,1.04731,0.0738,0.39991,8.74942,9.0129,7.99528
60-70,15,23.89625,27.19,1.09619,0.0797,0.42061,8.9852,9.25355,8.19853
60-70,16,24.43375,27.78,1.14509,0.08567,0.4408,9.21358,9.49351,8.39508
60-70,17,24.95556,28.36,1.19316,0.09173,0.46086,9.44148,9.72718,8.5894
60-70,18,25.46125,28.92,1.2406,0.09766,0.48037,9.66384,9.95675,8.78149
60-70,19,25.95125,29.47,1.28762,0.10344,0.49973,9.88171,10.18322,8.97141
60-70,20,26.43286,30.0,1.33463,0.10929,0.5191,10.09628,10.40563,9.15806
